Заказчик;Объект;№ заказа;Заключен;№ комплекта;Наименование комплекта;№ изделия по приложению;№ изделия по повт.приложению;Л;Центр работ;Включено;Наименование изделия;Отказ;Менеджер проекта;Руководитель группы;Архитектор проекта;Конструктор;Исполнитель Диз.проекта;Статус ДП;Обр.не подписан;Обр.подписан;Этаж;Помещение;Ед-ца изм.;Количество по дог-ру;Серийный №;Материал массив;Материал шпон;Рисунок;Порядковый № образца цвета заказчика;Художественный отдел;1-Улица 2-Помещение с повыш. влажностью 3-Поверхности с повыш.износом;Кол-во по факту проектирования;Обмеры;Обмерщик;Об-ва ДП;Об-ва Oбразцы;Об-ва ГП;Об-ва нач.монтажа;Об-ва окон.монтажа;Готовность строительных работ по информации заказчика;Смежники по дереву;Договор заключен;Дата сдачи;К.Сверхур %;КДП создана;КДП утверждена внутри фирмы;Ведомость фурнитуры;Ведомость стекла;Утвержденная спецификация передана в производство;КД передана в архив и производство, в том числе смежникам;Отгружено в отделку без резьбы.;Отгружено в отделку с резьбой.;Передано на грунт;Передано на грунт с резьбой;Выполнено в черновой шлифовке.;Выполнено в черновой шлифовке с резьбой.;Перемещено в зону чистовой отделки.;Перемещено в зону чистовой отделки с резьбой.;Выполнено в отделке без резьбы.;Выполнено в отделке с резьбой.;Отметка ОТК без резьбы;Отметка ОТК с резьбой;Поступило на склад ГП без резьбы.;Поступило на склад ГП с резьбой;Отгружено на объект без резьбы;Примечания;Отгружено на объект с резьбой;Сервис менеджер;Монтажник;Смонтировано;Акт подписан
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;117;3этаж/спальня 312/стеллаж,плинтус;17;;;;;Шкаф-стеллаж, встроенный в нишу (справа от рабочего стола), Наполнение: полки деревянные стационарные, Цокольный плинтус с гладким профидем, (без учета стоимости лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Жебраков М.;Жебраков М.;;48;;3 этаж;Спальня 312;шт;1;Спец.Дизайн;Бук;нет;;48  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;18;;;;;Тумба кухонная, фасады филенчатые распашные, с выдвижными ящиками (без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;19;;;;;Тумба кухонная, фасады филенчатые распашные, с выдвижными ящиками (без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;20;;;;;Шкаф подвесной с глухими фасадами(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;21;;;;;Шкаф подвесной с глухими фасадами(без учета стоимости столешницы и лицевой фурнитуры);;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Возвращен заказчиком на коррекцию 30-11-2018;42;;3 этаж;Кухня 317;шт;1;Спец.Дизайн;Бук;нет;укрывной;42  НПЗ;;;;;;;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;22;22;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;301;;16;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;122;3этаж/коридор 302/шкаф встроенный...;23;23;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Запланирован дизайн проект 26-11-2018;49;;3 этаж;302;;11.5;Спец.Дизайн;Бук;нет;укрывной;49  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;(П)13-12-2018;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;24;24;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;303;;7.5;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;08-11-2018;НЕТ;08-11-2018;НЕТ;08-11-2018;НЕТ;;НЕТ;;;08-11-2018;НЕТ;08-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;120;3этаж/гостиная 304/экран радиатора,плинтус;25;25;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;304;;15;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;26;26;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;306;;17.5;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;27;27;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;309;;21;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;119;3этаж/ВСЕ помещения/плинтус;28;28;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-11-2018;;;3 этаж;311;;12;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;21-11-2018;21-11-2018;;;21-11-2018;21-11-2018;26-11-2018;НЕТ;03-12-2018;НЕТ;03-12-2018;НЕТ;03-12-2018;НЕТ;;НЕТ;;;03-12-2018;НЕТ;03-12-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;117;3этаж/спальня 312/стеллаж,плинтус;29;29;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;Передан в КБ 20-10-2018;;;3 этаж;312;;19.5;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;22-10-2018;23-10-2018;;;24-10-2018;23-10-2018;29-10-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;07-11-2018;НЕТ;;НЕТ;;;07-11-2018;НЕТ;07-11-2018;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;118;3этаж/кухня 317/гарнитур кухонный;30;;;;;Плинтус напольный с гладким профилем ;;Федченко;Черкашин Д.;Казеев;Шишенко С.;Шишенко С.;;;;3 этаж;317;;8.8;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;120;3этаж/гостиная 304/экран радиатора,плинтус;31;;;;;Экран для радиатора,), решетка деревянная (наборная, под 45) в обвязке со штапиком с гладким профилем, цоколь с конвекционным пазом;;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;;;;3 этаж;Гостиная 304 / развертка 1;шт;1;Спец.Дизайн;;;;;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;г. Москва, Иваньковское шоссе, д.8;2312;02-11-2017;123;3этаж/кухня 305/гарнитур кухонный;32;;;;;Экран для радиатора,), решетка деревянная (наборная, под 45) в обвязке со штапиком с гладким профилем, цоколь с конвекционным пазом;;Федченко;Черкашин Д.;Казеев;Клочков И.;Клочков И.;Передан в КБ 13-11-2018;47;;3 этаж;Кухня 305 / развертка 1;шт;1;Спец.Дизайн;Бук;нер;;47  НПЗ;;;;;;02-01-2018;;02-04-2018;;02-05-2018;;;;;;26-11-2018;26-11-2018;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;
